adsh,cik,countryinc,filed,form,fy,name,period,Assets,EarningsPerShareBasic,Liabilities,NetIncomeLoss,StockholdersEquity,WeightedAverageNumberOfSharesOutstandingBasic,ticker,sector,stock_price,next_period,next_period_price
0001140361-12-024673,1083643,US,2012-05-11,10-Q,2012.0,"FAUQUIER BANKSHARES, INC.",2012-03-31,594212143.0,0.26,546156628.0,953815.0,48055515.0,,FBSS,FINANCE,12.45,2012-06-30,13.29
0001140361-12-025338,1137547,US,2012-05-15,10-Q,2012.0,UNITED SECURITY BANCSHARES,2012-03-31,623941000.0,0.08,560356000.0,1051000.0,63585000.0,13667150.0,UBFO,FINANCE,2.162,2012-06-30,2.139
0001144204-12-023393,1289850,US,2012-04-24,10-Q,2012.0,"NEUROMETRIX, INC.",2012-03-31,18330825.0,,2460873.0,-2752335.0,15869952.0,,NURO,HEALTH CARE,17.76,2012-06-30,14.88
0001144204-12-023528,832488,US,2012-04-24,10-Q,2012.0,"MAM SOFTWARE GROUP, INC.",2012-03-31,21139000.0,0.03,7826000.0,427000.0,13313000.0,13904582.0,MAMS,TECHNOLOGY,2.2,2012-06-30,2.23
0001144204-12-023785,895456,US,2012-04-25,10-Q,2012.0,"ROCKY BRANDS, INC.",2012-03-31,166392163.0,0.1,48889365.0,720687.0,117502798.0,7503270.0,RCKY,CONSUMER NON-DURABLES,13.64,2012-06-30,13.19
0001144204-12-025604,1210708,US,2012-05-02,10-Q,2012.0,"HUDSON GLOBAL, INC.",2012-03-31,205777000.0,-0.1,98653000.0,-3221000.0,107124000.0,31765000.0,HSON,TECHNOLOGY,5.38,2012-06-30,4.17
0001144204-12-025871,1107421,US,2012-05-03,10-Q,2012.0,ZIOPHARM ONCOLOGY INC,2012-03-31,140873000.0,,43173000.0,-24470000.0,97700000.0,,ZIOP,HEALTH CARE,5.4,2012-06-30,5.95
0001144204-12-025880,1485469,US,2012-05-03,10-Q,2012.0,"TOWER INTERNATIONAL, INC.",2012-03-31,1479794000.0,-0.01,1365896000.0,-158000.0,54809000.0,19691679.0,TOWR,CAPITAL GOODS,12.18,2012-06-30,10.5
0001144204-12-025912,1131312,US,2012-05-03,10-Q,2012.0,ZION OIL & GAS INC,2012-03-31,24546000.0,,3925000.0,-2702000.0,20621000.0,,ZN,ENERGY,2.64,2012-06-30,1.57
0001144204-12-026418,1095291,US,2012-05-07,10-Q,2012.0,"WEB.COM GROUP, INC.",2012-03-31,1386129000.0,-0.65,1143156000.0,-29779000.0,242973000.0,46140000.0,WEB,TECHNOLOGY,14.43,2012-06-30,18.27
0001144204-12-026734,810958,US,2012-05-08,10-Q,2012.0,CITIZENS & NORTHERN CORP,2012-03-31,1316764000.0,0.46,1145150000.0,5587000.0,,,CZNC,FINANCE,20.0,2012-06-30,19.05
0001144204-12-026908,1130144,US,2012-05-09,10-Q,2012.0,SIERRA BANCORP,2012-03-31,1348171000.0,0.13,1177926000.0,1879000.0,170245000.0,14101879.0,BSRR,FINANCE,9.83,2012-06-30,9.9
0001144204-12-026964,1108967,US,2012-05-09,10-Q,2012.0,"CUI GLOBAL, INC.",2012-03-31,35722795.0,,11250528.0,-1071762.0,24472267.0,,CUI,CONSUMER NON-DURABLES,4.86,2012-06-30,5.71
0001144204-12-027084,714395,US,2012-05-09,10-Q,2012.0,"GERMAN AMERICAN BANCORP, INC.",2012-03-31,1910530000.0,,1738434000.0,5602000.0,172096000.0,,GABC,FINANCE,12.953,2012-06-30,13.667
0001144204-12-027147,1357459,US,2012-05-09,10-Q,2012.0,"NEURALSTEM, INC.",2012-03-31,6846370.0,,2312058.0,-2452781.0,4534312.0,,CUR,HEALTH CARE,14.56,2012-06-30,11.96
0001144204-12-027167,1035092,US,2012-05-09,10-Q,2012.0,SHORE BANCSHARES INC,2012-03-31,1169721000.0,-0.36,1051137000.0,-3036000.0,118584000.0,,SHBI,FINANCE,7.09,2012-06-30,5.98
0001144204-12-027382,1365555,US,2012-05-10,10-Q,2012.0,"AMTRUST FINANCIAL SERVICES, INC.",2012-03-31,6095388000.0,0.65,5058586000.0,39086000.0,962042000.0,,AFSI,FINANCE,11.107,2012-06-30,12.277
0001144204-12-027454,857949,US,2012-05-10,10-Q,2012.0,"CHINA GREEN AGRICULTURE, INC.",2012-03-31,282712084.0,0.46,,12374361.0,228906224.0,26960277.0,CGA,BASIC INDUSTRIES,4.3,2012-06-30,3.56
0001144204-12-027576,1017491,US,2012-05-10,10-Q,2012.0,"APRICUS BIOSCIENCES, INC.",2012-03-31,31876615.0,,11701712.0,-4713061.0,20174903.0,,APRI,HEALTH CARE,2.82,2012-06-30,3.41
0001144204-12-027690,910329,US,2012-05-10,10-Q,2012.0,MEDIFAST INC,2012-03-31,117262000.0,0.29,39159000.0,3990000.0,78103000.0,13676922.0,MED,CONSUMER NON-DURABLES,17.46,2012-06-30,19.68
0001144204-12-028664,1422892,US,2012-05-14,10-Q,2012.0,"SINO-GLOBAL SHIPPING AMERICA, LTD.",2012-03-31,11120454.0,,8392509.0,-477388.0,5305322.0,,SINO,TRANSPORTATION,2.34,2012-06-30,2.67
0001144204-12-028735,1001316,US,2012-05-14,10-Q,2012.0,"TG THERAPEUTICS, INC.",2012-03-31,27074371.0,,5886792.0,-10256090.0,11738346.0,,TGTX,HEALTH CARE,6.75,2012-06-30,6.25
0001144204-12-029296,1344970,US,2012-05-15,10-Q,2012.0,UNITED COMMUNITY BANCORP,2012-03-31,503614000.0,,448257000.0,457000.0,55357000.0,,UCBA,FINANCE,8.824,2012-06-30,8.52
0001144204-12-029310,788611,US,2012-05-15,10-Q,2012.0,"SIGMA LABS, INC.",2012-03-31,931071.0,,83972.0,-254737.0,847099.0,,SGLB,CONSUMER DURABLES,1.66,2012-06-30,1.6
0001144204-12-029694,791770,US,2012-05-15,10-Q,2012.0,"SEQUENTIAL BRANDS GROUP, INC.",2012-03-31,11676467.0,0.0,16931000.0,-125076.0,-5254533.0,36002563.0,SQBG,CONSUMER NON-DURABLES,5.25,2012-06-30,4.95
0001144980-12-000054,1144980,US,2012-04-26,10-Q,2012.0,ASBURY AUTOMOTIVE GROUP INC,2012-03-31,1482600000.0,0.57,,17600000.0,348000000.0,31100000.0,ABG,CONSUMER DURABLES,27.0,2012-06-30,23.69
0001145443-12-000706,752642,US,2012-05-09,10-Q,2012.0,"UMH PROPERTIES, INC.",2012-03-31,230773958.0,0.07,117243811.0,1749697.0,113530147.0,15495431.0,UMH,CONSUMER SERVICES,10.96,2012-06-30,10.73
0001156375-12-000044,1156375,US,2012-05-08,10-Q,2012.0,CME GROUP INC.,2012-03-31,39289100000.0,4.03,17670000000.0,266600000.0,21549100000.0,66163000.0,CME,FINANCE,57.866,2012-06-30,53.622
0001157523-12-002655,1043219,US,2012-05-08,10-Q,2012.0,ANNALY CAPITAL MANAGEMENT INC,2012-03-31,120281540000.0,0.92,104340935000.0,901806000.0,15940605000.0,971727701.0,NLY,CONSUMER SERVICES,15.82,2012-06-30,16.78
0001157523-12-002899,1497645,US,2012-05-15,10-Q,2012.0,"SUMMIT HOTEL PROPERTIES, INC.",2012-03-31,604077730.0,,292991751.0,-1734482.0,272018822.0,,INN,CONSUMER SERVICES,7.58,2012-06-30,8.37
0001171200-12-000452,93451,US,2012-05-04,10-Q,2012.0,STERLING BANCORP,2012-03-31,2498644000.0,0.15,2273320000.0,4602000.0,225324000.0,30659856.0,STL,FINANCE,8.46,2012-06-30,7.59
0001171843-12-001598,311094,US,2012-05-02,10-Q,2012.0,WESTAMERICA BANCORPORATION,2012-03-31,5060257000.0,0.75,4500729000.0,21005000.0,559528000.0,28051000.0,WABC,FINANCE,48.0,2012-06-30,47.19
0001171843-12-001686,796505,US,2012-05-04,10-Q,2012.0,"CLEARFIELD, INC.",2012-03-31,30411703.0,0.01,2710874.0,131927.0,27700829.0,12331744.0,CLFD,PUBLIC UTILITIES,5.43,2012-06-30,4.81
0001171843-12-001941,1376321,US,2012-05-21,10-Q,2012.0,"CHINANET ONLINE HOLDINGS, INC.",2012-03-31,59154000.0,-0.02,11611000.0,-366000.0,41583000.0,22182584.0,CNET,TECHNOLOGY,2.475,2012-06-30,1.75
0001175535-12-000030,1175535,US,2012-05-10,10-Q,2012.0,WHITESTONE REIT,2012-03-31,274742000.0,,146183000.0,793000.0,118775000.0,11624000.0,WSR,CONSUMER SERVICES,13.04,2012-06-30,13.81
0001185185-12-001053,1418133,US,2012-05-15,10-Q,2012.0,"BIOSTAR PHARMACEUTICALS, INC.",2012-03-31,,0.23,,2167415.0,78867857.0,9398892.0,BSPM,HEALTH CARE,13.02,2012-06-30,9.52
0001185185-12-001105,884144,US,2012-05-15,10-Q,2012.0,ASURE SOFTWARE INC,2012-03-31,15763000.0,,,-847000.0,3516000.0,,ASUR,TECHNOLOGY,5.26,2012-06-30,4.15
0001188112-12-001403,1288359,US,2012-05-07,10-Q,2012.0,OTELCO INC.,2012-03-31,317279692.0,0.06,331159483.0,,,13221404.0,OTEL,PUBLIC UTILITIES,12.85,2012-06-30,7.21
0001188112-12-001641,744452,US,2012-05-15,10-Q,2012.0,APPLIED DNA SCIENCES INC,2012-03-31,1452015.0,,,-1543882.0,813783.0,,APDN,CONSUMER SERVICES,3.6,2012-06-30,3.0
0001188112-12-001643,1511198,US,2012-05-15,10-Q,2012.0,"FIRST CONNECTICUT BANCORP, INC.",2012-03-31,1677229000.0,,1427033000.0,991000.0,250196000.0,,FBNK,FINANCE,13.19,2012-06-30,13.5
0001193125-12-168393,1053532,US,2012-04-18,10-Q,2012.0,LASALLE HOTEL PROPERTIES,2012-03-31,2964189000.0,-0.19,1171841000.0,-8715000.0,1786741000.0,84499856.0,LHO,CONSUMER SERVICES,28.14,2012-06-30,29.14
0001193125-12-170650,1165002,US,2012-04-19,10-Q,2012.0,WESTWOOD HOLDINGS GROUP INC,2012-03-31,81274000.0,0.53,11016000.0,3785000.0,70258000.0,,WHG,FINANCE,38.73,2012-06-30,37.26
0001193125-12-175662,1396446,US,2012-04-23,10-Q,2012.0,"CYS INVESTMENTS, INC.",2012-03-31,13555905000.0,0.66,12030113000.0,69118000.0,1525792000.0,103952000.0,CYS,CONSUMER SERVICES,13.09,2012-06-30,13.77
0001193125-12-176490,108312,US,2012-04-24,10-Q,2012.0,"WOODWARD, INC.",2012-03-31,1816340000.0,0.56,828330000.0,38751000.0,,69077000.0,WWD,ENERGY,42.83,2012-06-30,39.44
0001193125-12-181562,39263,US,2012-04-25,10-Q,2012.0,"CULLEN/FROST BANKERS, INC.",2012-03-31,20417181000.0,0.99,18096468000.0,61033000.0,2320713000.0,61200627.0,CFR,FINANCE,58.19,2012-06-30,57.49
0001193125-12-181974,1357615,US,2012-04-25,10-Q,2012.0,"KBR, INC.",2012-03-31,5536000000.0,0.61,2998000000.0,91000000.0,2588000000.0,148000000.0,KBR,BASIC INDUSTRIES,35.55,2012-06-30,24.71
0001193125-12-182268,1359841,US,2012-04-25,10-Q,2012.0,HANESBRANDS INC.,2012-03-31,4076212000.0,-0.27,3418467000.0,-26830000.0,657745000.0,98533000.0,HBI,CONSUMER SERVICES,7.385,2012-06-30,6.932
0001193125-12-183644,1057058,US,2012-04-26,10-Q,2012.0,"WASTE CONNECTIONS, INC.",2012-03-31,3426644000.0,0.27,1630638000.0,31303000.0,1791188000.0,115188134.0,WCN,PUBLIC UTILITIES,21.687,2012-06-30,19.947
0001193125-12-184057,1420302,US,2012-04-26,10-Q,2012.0,"LOGMEIN, INC.",2012-03-31,240371296.0,0.0,78982637.0,76240.0,161388659.0,24573810.0,LOGM,TECHNOLOGY,35.23,2012-06-30,30.52
0001193125-12-185533,1289848,US,2012-04-26,10-Q,2012.0,HURON CONSULTING GROUP INC.,2012-03-31,767550000.0,0.04,,856000.0,401226000.0,21775000.0,HURN,CONSUMER SERVICES,37.56,2012-06-30,31.65
0001193125-12-186219,949158,US,2012-04-26,10-Q,2012.0,CRAY INC,2012-03-31,351202000.0,0.14,178497000.0,4964000.0,172705000.0,35528000.0,CRAY,TECHNOLOGY,7.32,2012-06-30,12.08
0001193125-12-186734,100517,US,2012-04-27,10-Q,2012.0,"UNITED CONTINENTAL HOLDINGS, INC.",2012-03-31,38199000000.0,,,-448000000.0,1510000000.0,,UAL,TRANSPORTATION,21.5,2012-06-30,24.33
0001193125-12-191335,1520697,US,2012-04-27,10-Q,2012.0,"ACADIA HEALTHCARE COMPANY, INC.",2012-03-31,453252000.0,0.11,352572000.0,3679000.0,100680000.0,32120000.0,ACHC,HEALTH CARE,16.3,2012-06-30,17.54
0001193125-12-193978,7431,US,2012-04-30,10-Q,2012.0,ARMSTRONG WORLD INDUSTRIES INC,2012-03-31,3262100000.0,0.31,,18200000.0,657000000.0,58600000.0,AWI,CONSUMER NON-DURABLES,48.77,2012-06-30,49.16
0001193125-12-195408,1163165,US,2012-04-30,10-Q,2012.0,CONOCOPHILLIPS,2012-03-31,162881000000.0,2.29,95838000000.0,2937000000.0,66534000000.0,1283493000.0,COP,ENERGY,57.944,2012-06-30,55.88
0001193125-12-196638,77281,US,2012-04-30,10-Q,2012.0,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,2012-03-31,2884372000.0,-0.18,2314106000.0,-9997000.0,527832000.0,54908000.0,PEI,CONSUMER SERVICES,15.27,2012-06-30,14.98
0001193125-12-196840,1344596,US,2012-05-01,10-Q,2012.0,"AMERICAN RAILCAR INDUSTRIES, INC.",2012-03-31,724923000.0,,402597000.0,12004000.0,322326000.0,,ARII,CAPITAL GOODS,23.51,2012-06-30,27.1
0001193125-12-200717,1385292,US,2012-05-01,10-Q,2012.0,MONOTYPE IMAGING HOLDINGS INC.,2012-03-31,319123000.0,0.16,,5720000.0,207309000.0,36282428.0,TYPE,TECHNOLOGY,14.9,2012-06-30,16.77
0001193125-12-200848,1442145,US,2012-05-01,10-Q,2012.0,"VERISK ANALYTICS, INC.",2012-03-31,1892043000.0,0.45,1902301000.0,74601000.0,-10258000.0,164836992.0,VRSK,TECHNOLOGY,46.97,2012-06-30,49.26
0001193125-12-201449,1261654,US,2012-05-02,10-Q,2012.0,UNIVERSAL TECHNICAL INSTITUTE INC,2012-03-31,267500000.0,0.08,119779000.0,1868000.0,147721000.0,24692000.0,UTI,CONSUMER SERVICES,13.19,2012-06-30,13.51
0001193125-12-201585,1511737,US,2012-05-02,10-Q,2012.0,"UBIQUITI NETWORKS, INC.",2012-03-31,177515000.0,0.3,74128000.0,27920000.0,103387000.0,91861000.0,UBNT,TECHNOLOGY,31.63,2012-06-30,14.25
0001193125-12-204618,1403256,US,2012-05-02,10-Q,2012.0,OCH-ZIFF CAPITAL MANAGEMENT GROUP LLC,2012-03-31,2141280000.0,-0.87,1341390000.0,-122744000.0,-353018000.0,140894185.0,OZM,FINANCE,9.28,2012-06-30,7.58
0001193125-12-206735,1524472,US,2012-05-03,10-Q,2012.0,XYLEM INC.,2012-03-31,4513000000.0,0.34,2564000000.0,63000000.0,,185400000.0,XYL,CAPITAL GOODS,27.75,2012-06-30,25.17
0001193125-12-206921,1339947,US,2012-05-03,10-Q,2012.0,VIACOM INC.,2012-03-31,22427000000.0,1.09,,585000000.0,7803000000.0,537500000.0,VIA,CONSUMER SERVICES,51.97,2012-06-30,50.98
0001193125-12-207459,1230245,US,2012-05-03,10-Q,2012.0,PIPER JAFFRAY COMPANIES,2012-03-31,1888511000.0,0.15,1130790000.0,2929000.0,721779000.0,16072000.0,PJC,FINANCE,26.62,2012-06-30,23.43
0001193125-12-208352,1301787,US,2012-05-03,10-Q,2012.0,BLUELINX HOLDINGS INC.,2012-03-31,624375000.0,,626709000.0,-11019000.0,-2334000.0,,BXC,CAPITAL GOODS,26.4,2012-06-30,23.5
0001193125-12-208373,752714,US,2012-05-03,10-Q,2012.0,MCGRATH RENTCORP,2012-03-31,934282000.0,0.4,592429000.0,9911000.0,341853000.0,24639000.0,MGRC,TECHNOLOGY,32.11,2012-06-30,26.5
0001193125-12-208430,1339605,US,2012-05-03,10-Q,2012.0,"H&E EQUIPMENT SERVICES, INC.",2012-03-31,786551000.0,0.11,518057000.0,3955000.0,268494000.0,34806000.0,HEES,,18.92,2012-06-30,15.03
0001193125-12-208513,1526520,US,2012-05-03,10-Q,2012.0,"TRIPADVISOR, INC.",2012-03-31,914428000.0,0.36,559718000.0,48111000.0,354710000.0,133754000.0,TRIP,TECHNOLOGY,35.67,2012-06-30,44.69
0001193125-12-208742,1212545,US,2012-05-03,10-Q,2012.0,WESTERN ALLIANCE BANCORPORATION,2012-03-31,6925292000.0,,6271247000.0,11300000.0,654045000.0,81359000.0,WAL,FINANCE,8.47,2012-06-30,9.36
0001193125-12-208781,1047862,US,2012-05-03,10-Q,2012.0,CONSOLIDATED EDISON INC,2012-03-31,39701000000.0,0.95,,280000000.0,11545000000.0,292900000.0,ED,PUBLIC UTILITIES,58.42,2012-06-30,62.19
0001193125-12-208891,912562,US,2012-05-03,10-Q,2012.0,"GIBRALTAR INDUSTRIES, INC.",2012-03-31,874178000.0,0.04,,1362000.0,463791000.0,30718000.0,ROCK,CAPITAL GOODS,15.15,2012-06-30,10.38
0001193125-12-208968,1103601,US,2012-05-03,10-Q,2012.0,WGL HOLDINGS INC,2012-03-31,,1.44,,,,51511.0,WGL,PUBLIC UTILITIES,40.7,2012-06-30,39.75
0001193125-12-209028,1518832,US,2012-05-04,10-Q,2012.0,"WPX ENERGY, INC.",2012-03-31,10269000000.0,,,-43000000.0,5625000000.0,,WPX,ENERGY,18.01,2012-06-30,16.18
0001193125-12-209441,906709,US,2012-05-04,10-Q,2012.0,NEKTAR THERAPEUTICS,2012-03-31,694789000.0,,532302000.0,-41097000.0,162487000.0,,NKTR,HEALTH CARE,7.92,2012-06-30,8.07
0001193125-12-209492,1425292,US,2012-05-04,10-Q,2012.0,"CVR PARTNERS, LP",2012-03-31,656931000.0,0.41,,30244000.0,,73031000.0,UAN,BASIC INDUSTRIES,26.3,2012-06-30,24.22
0001193125-12-209575,1377630,US,2012-05-04,10-Q,2012.0,"NATIONAL CINEMEDIA, INC.",2012-03-31,788500000.0,-0.02,1135900000.0,-900000.0,-436700000.0,54141234.0,NCMI,CONSUMER SERVICES,15.3,2012-06-30,15.17
0001193125-12-210004,1362004,US,2012-05-04,10-Q,2012.0,"ICF INTERNATIONAL, INC.",2012-03-31,719349000.0,0.45,316282000.0,8937000.0,403067000.0,19769000.0,ICFI,CONSUMER SERVICES,25.37,2012-06-30,23.84
0001193125-12-210220,1334978,US,2012-05-04,10-Q,2012.0,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",2012-03-31,7132428000.0,-0.14,,-43870000.0,,356363000.0,CCO,CONSUMER SERVICES,7.98,2012-06-30,6.02
0001193125-12-210762,868780,US,2012-05-04,10-Q,2012.0,"DORMAN PRODUCTS, INC.",2012-03-31,406739000.0,0.87,,15578000.0,333049000.0,17978000.0,DORM,CAPITAL GOODS,25.3,2012-06-30,25.09
0001193125-12-210830,1171486,US,2012-05-04,10-Q,2012.0,NATURAL RESOURCE PARTNERS LP,2012-03-31,1671874000.0,,,51309000.0,,,NRP,ENERGY,239.9,2012-06-30,221.7
0001193125-12-211250,1500217,US,2012-05-04,10-Q,2012.0,"AMERICAN ASSETS TRUST, INC.",2012-03-31,1722471000.0,0.05,1051286000.0,1856000.0,620468000.0,38657170.0,AAT,CONSUMER SERVICES,22.8,2012-06-30,24.25
0001193125-12-211274,1453814,US,2012-05-04,10-Q,2012.0,"MEDIDATA SOLUTIONS, INC.",2012-03-31,200717000.0,0.16,86984000.0,3770000.0,113733000.0,24017.0,MDSO,TECHNOLOGY,13.32,2012-06-30,16.335
0001193125-12-211781,1007330,US,2012-05-04,10-Q,2012.0,"PRGX GLOBAL, INC.",2012-03-31,121988000.0,0.01,60977000.0,292000.0,,25309000.0,PRGX,CONSUMER SERVICES,6.29,2012-06-30,7.95
0001193125-12-211818,1142750,US,2012-05-04,10-Q,2012.0,AMN HEALTHCARE SERVICES INC,2012-03-31,523963000.0,0.09,359302000.0,4276000.0,140585000.0,40576000.0,AMN,TECHNOLOGY,6.06,2012-06-30,5.93
0001193125-12-211882,1323885,US,2012-05-04,10-Q,2012.0,"ATRICURE, INC.",2012-03-31,36588080.0,,21936303.0,-1619780.0,14651777.0,,ATRC,HEALTH CARE,9.95,2012-06-30,9.61
0001193125-12-211904,1519751,US,2012-05-04,10-Q,2012.0,"FORTUNE BRANDS HOME & SECURITY, INC.",2012-03-31,3647500000.0,,1464000000.0,12500000.0,2180500000.0,,FBHS,BASIC INDUSTRIES,22.07,2012-06-30,22.27
0001193125-12-211954,1380509,US,2012-05-04,10-Q,2012.0,"HFF, INC.",2012-03-31,455894000.0,0.09,319566000.0,3276000.0,135764000.0,,HF,CONSUMER SERVICES,15.459,2012-06-30,13.084
0001193125-12-212006,96869,US,2012-05-04,10-Q,2012.0,TEJON RANCH CO,2012-03-31,319434000.0,0.01,18350000.0,275000.0,261301000.0,,TRC,FINANCE,26.97,2012-06-30,26.951
0001193125-12-212024,1297989,US,2012-05-04,10-Q,2012.0,"EXLSERVICE HOLDINGS, INC.",2012-03-31,383437000.0,0.28,77891000.0,8916000.0,305523000.0,31445592.0,EXLS,MISCELLANEOUS,27.44,2012-06-30,24.64
0001193125-12-212051,1315257,US,2012-05-04,10-Q,2012.0,KOPPERS HOLDINGS INC.,2012-03-31,754100000.0,0.75,628900000.0,15600000.0,112500000.0,20669000.0,KOP,BASIC INDUSTRIES,38.56,2012-06-30,34.0
0001193125-12-212058,1019849,US,2012-05-04,10-Q,2012.0,"PENSKE AUTOMOTIVE GROUP, INC.",2012-03-31,4834765000.0,0.52,3652568000.0,46818000.0,1177778000.0,90306000.0,PAG,CONSUMER DURABLES,24.63,2012-06-30,21.24
0001193125-12-212103,1290900,US,2012-05-04,10-Q,2012.0,"COMMERCIAL VEHICLE GROUP, INC.",2012-03-31,437094000.0,0.43,409293000.0,12005000.0,27805000.0,28171000.0,CVGI,CAPITAL GOODS,12.21,2012-06-30,8.62
0001193125-12-212216,1316835,US,2012-05-04,10-Q,2012.0,"BUILDERS FIRSTSOURCE, INC.",2012-03-31,495319000.0,,412878000.0,-19188000.0,82441000.0,,BLDR,CONSUMER SERVICES,4.23,2012-06-30,4.74
0001193125-12-214031,1168455,US,2012-05-07,10-Q,2012.0,PLUMAS BANCORP,2012-03-31,460218000.0,0.01,420253000.0,224000.0,39965000.0,,PLBC,FINANCE,3.35,2012-06-30,3.12
0001193125-12-214178,1109546,US,2012-05-07,10-Q,2012.0,PACIFIC MERCANTILE BANCORP,2012-03-31,1037815000.0,0.09,950074000.0,1382000.0,87741000.0,12396367.0,PMBC,FINANCE,5.49,2012-06-30,6.91
0001193125-12-214794,1163370,US,2012-05-07,10-Q,2012.0,NORTHRIM BANCORP INC,2012-03-31,1076362000.0,0.4,948212000.0,2576000.0,128094000.0,6467540.0,NRIM,FINANCE,21.52,2012-06-30,21.49
0001193125-12-214988,1434588,US,2012-05-07,10-Q,2012.0,"GRAND CANYON EDUCATION, INC.",2012-03-31,349969000.0,0.33,168099000.0,14469000.0,181870000.0,44371000.0,LOPE,CONSUMER SERVICES,17.76,2012-06-30,20.94
0001193125-12-214997,7789,US,2012-05-07,10-Q,2012.0,ASSOCIATED BANC-CORP,2012-03-31,21913670000.0,0.24,19012797000.0,42633000.0,2900873000.0,173846000.0,ASB,FINANCE,13.96,2012-06-30,13.19
0001193125-12-215038,857737,US,2012-05-07,10-Q,2012.0,"ICONIX BRAND GROUP, INC.",2012-03-31,2159572000.0,0.38,868064000.0,27599000.0,1184883000.0,72302000.0,ICON,CONSUMER NON-DURABLES,17.38,2012-06-30,17.47
0001193125-12-215056,1175609,US,2012-05-07,10-Q,2012.0,"CAVIUM, INC.",2012-03-31,361478000.0,-0.28,54092000.0,-13829000.0,307386000.0,49323000.0,CAVM,TECHNOLOGY,30.94,2012-06-30,28.0
0001193125-12-215132,1375365,US,2012-05-07,10-Q,2012.0,"SUPER MICRO COMPUTER, INC.",2012-03-31,548118000.0,0.17,219265000.0,7077000.0,328853000.0,41126000.0,SMCI,TECHNOLOGY,17.46,2012-06-30,15.86
0001193125-12-215140,761648,US,2012-05-07,10-Q,2012.0,"CEDAR REALTY TRUST, INC.",2012-03-31,1484432000.0,,936694000.0,-5809000.0,487913000.0,,CDR,CONSUMER SERVICES,5.12,2012-06-30,5.05
0001193125-12-215380,1474439,US,2012-05-07,10-Q,2012.0,"TELENAV, INC.",2012-03-31,275387000.0,0.18,,7351000.0,209571000.0,41454000.0,TNAV,CAPITAL GOODS,7.02,2012-06-30,6.13
0001193125-12-215819,1045609,US,2012-05-08,10-Q,2012.0,"PROLOGIS, INC.",2012-03-31,28867953000.0,0.44,14317293000.0,212979000.0,13717655000.0,459203000.0,PLD,CONSUMER SERVICES,36.02,2012-06-30,33.23
0001193125-12-217034,1054905,US,2012-05-08,10-Q,2012.0,INNOSPEC INC.,2012-03-31,592000000.0,1.07,,24600000.0,368600000.0,23055.0,IOSP,BASIC INDUSTRIES,30.38,2012-06-30,29.61
0001193125-12-217308,1333170,US,2012-05-08,10-Q,2012.0,"NXSTAGE MEDICAL, INC.",2012-03-31,295800000.0,,143890000.0,-5144000.0,151910000.0,,NXTM,HEALTH CARE,19.27,2012-06-30,16.76
0001193125-12-217463,1383312,US,2012-05-08,10-Q,2012.0,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",2012-03-31,2014300000.0,0.14,1213500000.0,,800800000.0,124000000.0,BR,MISCELLANEOUS,23.91,2012-06-30,21.27
0001193125-12-217633,1486159,US,2012-05-08,10-Q,2012.0,OASIS PETROLEUM INC.,2012-03-31,1813410000.0,,1162321000.0,16441000.0,651089000.0,92130000.0,OAS,ENERGY,30.83,2012-06-30,24.18
0001193125-12-217729,1391127,US,2012-05-08,10-Q,2012.0,"LIMELIGHT NETWORKS, INC.",2012-03-31,334655000.0,-0.1,32489000.0,-10006000.0,302166000.0,104226000.0,LLNW,MISCELLANEOUS,3.29,2012-06-30,2.93
0001193125-12-218222,1094831,US,2012-05-08,10-Q,2012.0,"BGC PARTNERS, INC.",2012-03-31,1852847000.0,0.06,1347642000.0,8189000.0,327932000.0,136124000.0,BGCP,FINANCE,7.41,2012-06-30,5.87
0001193125-12-218293,1113148,US,2012-05-08,10-Q,2012.0,"INFINITY PHARMACEUTICALS, INC.",2012-03-31,114924000.0,,107961000.0,-10722000.0,6963000.0,,INFI,HEALTH CARE,11.96,2012-06-30,13.56
0001193125-12-218340,1392972,US,2012-05-08,10-Q,2012.0,"PROS HOLDINGS, INC.",2012-03-31,118651000.0,0.04,41457000.0,1191000.0,77194000.0,27166973.0,PRO,TECHNOLOGY,18.7,2012-06-30,16.82
0001193125-12-218352,883237,US,2012-05-08,10-Q,2012.0,"VIRTUS INVESTMENT PARTNERS, INC.",2012-03-31,278116000.0,0.72,53659000.0,5450000.0,224457000.0,7468000.0,VRTS,FINANCE,85.78,2012-06-30,81.0
0001193125-12-218366,1320695,US,2012-05-08,10-Q,2012.0,"TREEHOUSE FOODS, INC.",2012-03-31,2483003000.0,0.61,1377148000.0,22074000.0,1105855000.0,36019000.0,THS,CONSUMER NON-DURABLES,59.5,2012-06-30,62.29
0001193125-12-218368,1430592,US,2012-05-08,10-Q,2012.0,"FINANCIAL ENGINES, INC.",2012-03-31,259813000.0,0.08,30479000.0,3512000.0,229334000.0,46074000.0,FNGN,FINANCE,22.36,2012-06-30,21.45
0001193125-12-218370,1316898,US,2012-05-08,10-Q,2012.0,"JAMBA, INC.",2012-03-31,81514000.0,-0.03,62817000.0,-1510000.0,732000.0,67294134.0,JMBA,CONSUMER SERVICES,10.35,2012-06-30,9.75
